"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"7539","GO:0031324",0.000464020163515774,0.99961413314294,625,2327,"negative regulation of cellular metabolic process","BP"
"5623","GO:0016234",0.000472487037864117,0.999812083406439,30,70,"inclusion body","CC"
"14394","GO:0061061",0.000489034648782657,0.999645425854472,196,654,"muscle structure development","BP"
"11257","GO:0045061",0.000491470127069887,0.999896006001921,14,24,"thymic T cell selection","BP"
"11973","GO:0046638",0.000508843517171858,0.999818187818604,25,55,"positive regulation of alpha-beta T cell differentiation","BP"
"3866","GO:0008284",0.000529231931456268,0.999600970275695,248,864,"positive regulation of cell population proliferation","BP"
"11603","GO:0045862",0.000529654798122429,0.999665389059393,98,304,"positive regulation of proteolysis","BP"
"10619","GO:0043068",0.000533894138624719,0.999625426506963,159,529,"positive regulation of programmed cell death","BP"
"18193","GO:0140513",0.000558626663527009,0.999560262567975,344,1232,"nuclear protein-containing complex","CC"
"11641","GO:0045934",0.000567953573311084,0.999546468990202,391,1409,"negative regulation of nucleobase-containing compound metabolic process","BP"
"8189","GO:0032501",0.000569550308652041,0.999500170027424,1661,6535,"multicellular organismal process","BP"
"9235","GO:0034976",0.000572577537289138,0.999648239679734,87,264,"response to endoplasmic reticulum stress","BP"
"2541","GO:0005518",0.000604243379737996,0.999760160453954,29,67,"collagen binding","MF"
"9358","GO:0035325",0.000611222042045264,0.999927913106014,9,13,"Toll-like receptor binding","MF"
"892","GO:0002263",0.000614801553432011,0.999613288397663,94,292,"cell activation involved in immune response","BP"
"15223","GO:0070665",0.000618327809386802,0.999668700416517,55,155,"positive regulation of leukocyte proliferation","BP"
"3786","GO:0008150",0.000622514197084726,0.999515375539743,3770,15608,"biological_process","BP"
"19424","GO:1902532",0.00062378680350479,0.99954807350421,187,628,"negative regulation of intracellular signal transduction","BP"
"10791","GO:0043367",0.000682199702734519,0.999684422656453,38,97,"CD4-positive, alpha-beta T cell differentiation","BP"
"9561","GO:0035710",0.000684007984642252,0.999655955011592,46,124,"CD4-positive, alpha-beta T cell activation","BP"
"1199","GO:0002753",0.000693388049059265,0.999615971299506,60,169,"cytoplasmic pattern recognition receptor signaling pathway","BP"
"17749","GO:0106310",0.000696937429635251,0.999540560226581,114,350,"protein serine kinase activity","MF"
"18347","GO:0140895",0.000697950493030063,0.999729175703513,27,63,"cell surface toll-like receptor signaling pathway","BP"
"2597","GO:0005634",0.000728471884051897,0.999358168061029,1791,7112,"nucleus","CC"
"6380","GO:0019538",0.000730602889248701,0.999365578312225,1137,4420,"protein metabolic process","BP"
"13365","GO:0051641",0.000742469890033178,0.999364468924704,867,3286,"cellular localization","BP"
"12482","GO:0048468",0.00074250687967324,0.999372807686048,708,2645,"cell development","BP"
"8179","GO:0032490",0.000752614227089743,0.999908259158707,9,13,"detection of molecule of bacterial origin","BP"
"967","GO:0002369",0.000754406486426332,0.99977711118542,18,37,"T cell cytokine production","BP"
"1184","GO:0002724",0.000754406486426332,0.99977711118542,18,37,"regulation of T cell cytokine production","BP"
"11611","GO:0045892",0.000760707814807984,0.999400580670341,330,1177,"negative regulation of DNA-templated transcription","BP"
"15879","GO:0071916",0.000776840578093579,1,5,5,"dipeptide transmembrane transporter activity","MF"
"2698","GO:0005815",0.000799284650891162,0.999393391545839,244,844,"microtubule organizing center","CC"
"15212","GO:0070647",0.000809897301136402,0.9993836482454,248,861,"protein modification by small protein conjugation or removal","BP"
"4623","GO:0010506",0.000818970696749199,0.999456821510481,113,358,"regulation of autophagy","BP"
"2696","GO:0005813",0.000821950085281989,0.999391432283574,205,696,"centrosome","CC"
"12935","GO:0050864",0.000824888335640573,0.999580261053769,46,125,"regulation of B cell activation","BP"
"7010","GO:0030163",0.000834182836575135,0.999352146434194,288,1018,"protein catabolic process","BP"
"5527","GO:0016043",0.000837599410962844,0.999262761363583,1595,6261,"cellular component organization","BP"
"22046","GO:2001233",0.000845293837214968,0.999438036335356,113,364,"regulation of apoptotic signaling pathway","BP"
"22055","GO:2001242",0.000854945475407327,0.999522107593736,59,172,"regulation of intrinsic apoptotic signaling pathway","BP"
"10792","GO:0043368",0.000878764900336769,0.999687805413044,23,50,"positive T cell selection","BP"
"10170","GO:0042098",0.000892076093545271,0.999478098225784,68,203,"T cell proliferation","BP"
"18067","GO:0140205",0.000903543086279347,1,5,5,"oligopeptide import across plasma membrane","BP"
"18068","GO:0140206",0.000903543086279347,1,5,5,"dipeptide import across plasma membrane","BP"
"11465","GO:0045622",0.000904104100306761,0.999693621997241,21,46,"regulation of T-helper cell differentiation","BP"
"21363","GO:1990868",0.000910026099912908,0.999581664746289,35,94,"response to chemokine","BP"
"21364","GO:1990869",0.000910026099912908,0.999581664746289,35,94,"cellular response to chemokine","BP"
"20037","GO:1903897",0.00093460877510887,0.999905016346974,8,11,"regulation of PERK-mediated unfolded protein response","BP"
"4669","GO:0010605",0.000940503877192135,0.999206603902764,661,2492,"negative regulation of macromolecule metabolic process","BP"
"8250","GO:0032609",0.00096190411502554,0.999521750422015,42,115,"type II interferon production","BP"
"8278","GO:0032649",0.00096190411502554,0.999521750422015,42,115,"regulation of type II interferon production","BP"
"6962","GO:0030099",0.000964287085219411,0.999340257384534,127,415,"myeloid cell differentiation","BP"
"15330","GO:0070887",0.000971213293802822,0.999193210371455,538,2011,"cellular response to chemical stimulus","BP"
"20036","GO:1903896",0.000995463383508357,0.999957676187231,6,7,"positive regulation of IRE1-mediated unfolded protein response","BP"
"7002","GO:0030154",0.00100020034961351,0.99913216521598,1039,3992,"cell differentiation","BP"
"4549","GO:0010171",0.00100210973412689,0.999637691523964,23,51,"body morphogenesis","BP"
"16240","GO:0072686",0.00100898217688519,0.999429834940568,60,172,"mitotic spindle","CC"
"18342","GO:0140888",0.00103586979832875,0.999510981016757,37,97,"interferon-mediated signaling pathway","BP"
"12684","GO:0048869",0.00103697998527399,0.999099870340512,1039,3993,"cellular developmental process","BP"
"9089","GO:0034481",0.0010524679142319,1,5,5,"chondroitin sulfotransferase activity","MF"
"11110","GO:0044389",0.00110254176989578,0.999285526821762,97,304,"ubiquitin-like protein ligase binding","MF"
"8843","GO:0033993",0.00112222933041581,0.999141362978953,243,856,"response to lipid","BP"
"3867","GO:0008285",0.00113377516695586,0.999160559164209,193,665,"negative regulation of cell population proliferation","BP"
"19480","GO:1902679",0.00113742566400379,0.999095872516088,332,1192,"negative regulation of RNA biosynthetic process","BP"
"17250","GO:0098772",0.00114206436362759,0.999051049800097,522,1965,"molecular function regulator activity","MF"
"10616","GO:0043065",0.00115190090396335,0.999179834094995,152,511,"positive regulation of apoptotic process","BP"
"15838","GO:0071840",0.00115921887259507,0.998975526091663,1641,6468,"cellular component organization or biogenesis","BP"
"4427","GO:0009653",0.00116324326230321,0.999014848173286,673,2504,"anatomical structure morphogenesis","BP"
"19886","GO:1903573",0.00117395548744083,0.999603537105887,20,44,"negative regulation of response to endoplasmic reticulum stress","BP"
"633","GO:0001865",0.00120507911521644,0.999871905643079,8,11,"NK T cell differentiation","BP"
"559","GO:0001772",0.00120843925986702,0.999576687252873,21,47,"immunological synapse","CC"
"1090","GO:0002573",0.00121833991540018,0.999259494580708,74,224,"myeloid leukocyte differentiation","BP"
"7590","GO:0031410",0.00124134023543806,0.998951853540615,633,2390,"cytoplasmic vesicle","CC"
"10220","GO:0042221",0.00125522178482272,0.99891691105868,883,3417,"response to chemical","BP"
"8722","GO:0033554",0.00129448320311133,0.998930011931959,481,1782,"cellular response to stress","BP"
"17150","GO:0098581",0.00131130461803686,0.99969179583726,13,24,"detection of external biotic stimulus","BP"
"4649","GO:0010564",0.00131943251053459,0.999010094936248,206,709,"regulation of cell cycle process","BP"
"11049","GO:0044237",0.00136694141907156,0.99878666130771,2144,8624,"cellular metabolic process","BP"
"2085","GO:0004674",0.00138879984885196,0.999036345580142,130,413,"protein serine/threonine kinase activity","MF"
"910","GO:0002285",0.00139853040858285,0.999160795304506,69,208,"lymphocyte activation involved in immune response","BP"
"21716","GO:2000516",0.00141394256742384,0.999497538554189,21,47,"positive regulation of CD4-positive, alpha-beta T cell activation","BP"
"14850","GO:0065008",0.00141942903602788,0.998788031095491,726,2741,"regulation of biological quality","BP"
"17098","GO:0097708",0.00142247017185807,0.998796370731308,634,2397,"intracellular vesicle","CC"
"17850","GO:0110165",0.00143213113408617,0.998982925344803,3915,16305,"cellular anatomical entity","CC"
"17403","GO:0099022",0.00143410810913397,0.999586482188585,16,32,"vesicle tethering","BP"
"14241","GO:0060761",0.00144317125131738,0.99934671162419,32,82,"negative regulation of response to cytokine stimulus","BP"
"2568","GO:0005581",0.00147324386930278,0.999335484000203,32,80,"collagen trimer","CC"
"14879","GO:0070059",0.0014992001057508,0.999388157040832,26,63,"intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress","BP"
"4483","GO:0009894",0.0014994448715199,0.998824663017902,280,992,"regulation of catabolic process","BP"
"16804","GO:0097107",0.00149944786976341,0.999619275557485,14,26,"postsynaptic density assembly","BP"
"21580","GO:2000316",0.00152093471765984,0.999534851100473,17,35,"regulation of T-helper 17 type immune response","BP"
"382","GO:0001221",0.00154203930900112,0.999214820684964,42,112,"transcription coregulator binding","MF"
"11463","GO:0045620",0.00155646294356492,0.999405714220055,23,54,"negative regulation of lymphocyte differentiation","BP"
"1010","GO:0002440",0.00157032543194934,0.999048088497573,70,213,"production of molecular mediator of immune response","BP"
"8392","GO:0032813",0.00157702150652532,0.999430302856086,21,48,"tumor necrosis factor receptor superfamily binding","MF"
"5625","GO:0016236",0.00158246775220822,0.998926972524048,112,361,"macroautophagy","BP"
"1556","GO:0003674",0.00160010819817967,0.998815120342248,3881,16149,"molecular_function","MF"
"703","GO:0001961",0.001647422008227,0.999336870417526,25,60,"positive regulation of cytokine-mediated signaling pathway","BP"
"10173","GO:0042102",0.00167612020047031,0.999189877567215,36,96,"positive regulation of T cell proliferation","BP"
"8562","GO:0033081",0.00168787350257061,0.999556484298779,14,27,"regulation of T cell differentiation in thymus","BP"
"14838","GO:0062207",0.00179519919717927,0.998964551539456,58,169,"regulation of pattern recognition receptor signaling pathway","BP"
"13400","GO:0051709",0.00180901314294727,0.999812223972128,7,10,"regulation of killing of cells of another organism","BP"
"1239","GO:0002822",0.00181419602493662,0.998914568420031,65,197,"regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","BP"
"19645","GO:1903052",0.00182211119134591,0.999018611529584,47,132,"positive regulation of proteolysis involved in protein catabolic process","BP"
"1159","GO:0002697",0.00182443922547067,0.998751760707107,113,375,"regulation of immune effector process","BP"
"4071","GO:0008631",0.00184277839543666,0.999251279022694,25,60,"intrinsic apoptotic signaling pathway in response to oxidative stress","BP"
"22057","GO:2001244",0.0018703738918618,0.999249839876756,24,59,"positive regulation of intrinsic apoptotic signaling pathway","BP"
"2343","GO:0005085",0.00187143672211285,0.998835547389758,76,226,"guanyl-nucleotide exchange factor activity","MF"
"15138","GO:0070498",0.00188341824124351,0.999464192472345,15,30,"interleukin-1-mediated signaling pathway","BP"
"13347","GO:0051603",0.00189230857889418,0.998548921615578,225,790,"proteolysis involved in protein catabolic process","BP"
"3728","GO:0008047",0.00193104093646149,0.998578430677771,170,575,"enzyme activator activity","MF"
"1019","GO:0002449",0.00195438282157287,0.998720161223949,91,294,"lymphocyte mediated immunity","BP"
"13861","GO:0060205",0.00199043495238249,0.998682203101031,95,311,"cytoplasmic vesicle lumen","CC"
"1236","GO:0002819",0.00199333708200357,0.998781649565858,69,212,"regulation of adaptive immune response","BP"
"8366","GO:0032785",0.0020420849993072,0.999525072122006,12,22,"negative regulation of DNA-templated transcription, elongation","BP"
"10185","GO:0042129",0.00207632558250102,0.998796163051614,57,170,"regulation of T cell proliferation","BP"
"14893","GO:0070085",0.00207842500553865,0.998693143429822,77,235,"glycosylation","BP"
"4643","GO:0010558",0.00215178983775702,0.998189264831232,540,2024,"negative regulation of macromolecule biosynthetic process","BP"
"8140","GO:0032446",0.00216256590380666,0.998339338900917,222,777,"protein modification by small protein conjugation","BP"
"21342","GO:1990823",0.00218163538195686,0.998940878315426,35,92,"response to leukemia inhibitory factor","BP"
"2382","GO:0005149",0.00219540049687522,0.999763247050353,7,10,"interleukin-1 receptor binding","MF"
"5329","GO:0015671",0.00219597244138521,0.999731717484129,7,11,"oxygen transport","BP"
"7542","GO:0031327",0.00220365092480714,0.998142520272659,549,2061,"negative regulation of cellular biosynthetic process","BP"
"6926","GO:0030020",0.00220675451769512,0.999214359367516,20,43,"extracellular matrix structural constituent conferring tensile strength","MF"
"7857","GO:0031983",0.00224309925109212,0.99850768231402,95,312,"vesicle lumen","CC"
"13170","GO:0051253",0.00225887935926677,0.998167130497753,354,1288,"negative regulation of RNA metabolic process","BP"
"16435","GO:0090083",0.00226772084989692,0.999565141824712,10,17,"regulation of inclusion body assembly","BP"
"4620","GO:0010498",0.00228646496848322,0.998313625005809,166,568,"proteasomal protein catabolic process","BP"
"22048","GO:2001235",0.0022968383592899,0.998732697444134,48,139,"positive regulation of apoptotic signaling pathway","BP"
"12404","GO:0048247",0.00229901596263992,0.999211746548723,18,41,"lymphocyte chemotaxis","BP"
"12885","GO:0050790",0.00229916461720802,0.998164538117987,301,1093,"regulation of catalytic activity","BP"
"7717","GO:0031665",0.00233118956081016,0.999745586611922,7,10,"negative regulation of lipopolysaccharide-mediated signaling pathway","BP"
"14851","GO:0065009",0.00233173146921053,0.998068633397406,437,1627,"regulation of molecular function","BP"
"5314","GO:0015630",0.00233431082486432,0.998098040776764,367,1336,"microtubule cytoskeleton","CC"
"5802","GO:0016607",0.00234557695665175,0.99835615961679,123,405,"nuclear speck","CC"
"14097","GO:0060538",0.00237979141591787,0.998597871376117,59,175,"skeletal muscle organ development","BP"
"8905","GO:0034142",0.00238593877354513,0.99904949119084,23,55,"toll-like receptor 4 signaling pathway","BP"
"8996","GO:0034340",0.00239722834797386,0.998884763983368,31,81,"response to type I interferon","BP"
"13135","GO:0051179",0.00241417445172892,0.997864700630093,1278,5002,"localization","BP"
"3657","GO:0007519",0.00243091036653457,0.998596439349547,55,161,"skeletal muscle tissue development","BP"
"5735","GO:0016480",0.00249961475823394,1,4,4,"negative regulation of transcription by RNA polymerase III","BP"
"7544","GO:0031329",0.00259516911563721,0.99814624293034,134,446,"regulation of cellular catabolic process","BP"
"9223","GO:0034774",0.0026163505046667,0.998256097686198,93,306,"secretory granule lumen","CC"
"702","GO:0001960",0.00261680543145628,0.998792159739019,30,78,"negative regulation of cytokine-mediated signaling pathway","BP"
"7879","GO:0032021",0.00265036547457959,1,4,4,"NELF complex","CC"
"9951","GO:0036498",0.00280037371366828,0.999368993658202,11,20,"IRE1-mediated unfolded protein response","BP"
"10796","GO:0043372",0.00280566265799767,0.999064316573187,17,37,"positive regulation of CD4-positive, alpha-beta T cell differentiation","BP"
"13164","GO:0051247",0.00286980016242979,0.997710179471999,287,1035,"positive regulation of protein metabolic process","BP"
"15774","GO:0071706",0.00287304632481108,0.998331343339762,54,161,"tumor necrosis factor superfamily cytokine production","BP"
"19876","GO:1903555",0.00287304632481108,0.998331343339762,54,161,"regulation of tumor necrosis factor superfamily cytokine production","BP"
"4161","GO:0009056",0.00288676941397349,0.997524325824511,659,2522,"catabolic process","BP"
"8264","GO:0032633",0.00289150391805154,0.999111759045874,15,32,"interleukin-4 production","BP"
"8292","GO:0032673",0.00289150391805154,0.999111759045874,15,32,"regulation of interleukin-4 production","BP"
"21007","GO:1905898",0.00290501158141087,0.999027488731953,17,37,"positive regulation of response to endoplasmic reticulum stress","BP"
"4479","GO:0009890",0.00291933921473091,0.997526117075321,554,2088,"negative regulation of biosynthetic process","BP"
"10120","GO:0040011",0.00298862654911522,0.997582845886448,323,1177,"locomotion","BP"
"21131","GO:1990266",0.00300593500476046,0.998475997826739,36,101,"neutrophil migration","BP"
"11813","GO:0046328",0.00305832462379716,0.998298824381031,47,134,"regulation of JNK cascade","BP"
"18152","GO:0140375",0.00316056573978488,0.99823184402052,47,138,"immune receptor activity","MF"
"14530","GO:0061448",0.00316957818393508,0.997912119588889,86,272,"connective tissue development","BP"
"7340","GO:0030888",0.00318096752579251,0.998635683950734,25,62,"regulation of B cell proliferation","BP"
"11815","GO:0046330",0.00318589782761637,0.998405991042029,35,94,"positive regulation of JNK cascade","BP"
"9923","GO:0036454",0.00321661870445763,0.99972751620049,6,8,"growth factor complex","CC"
"3224","GO:0006659",0.00322604440775972,1,4,4,"phosphatidylserine biosynthetic process","BP"
"8328","GO:0032729",0.00323353936974954,0.998524964528258,28,73,"positive regulation of type II interferon production","BP"
"1198","GO:0002752",0.00325975500791703,0.998540822974542,27,69,"cell surface pattern recognition receptor signaling pathway","BP"
"18156","GO:0140416",0.00329850801474825,0.998970759179815,15,32,"transcription regulator inhibitor activity","MF"
"2581","GO:0005594",0.00333487624584666,1,4,4,"collagen type IX trimer","CC"
"3915","GO:0008360",0.00336323516703962,0.998120458110145,47,133,"regulation of cell shape","BP"
"9412","GO:0035442",0.00339626867869558,0.999708721091126,6,8,"dipeptide transmembrane transport","BP"
"10554","GO:0042938",0.00339626867869558,0.999708721091126,6,8,"dipeptide transport","BP"
"3920","GO:0008375",0.00341123944300034,0.998746323123247,19,43,"acetylglucosaminyltransferase activity","MF"
"6853","GO:0022603",0.00345366590375012,0.9973060558626,229,800,"regulation of anatomical structure morphogenesis","BP"
"1186","GO:0002726",0.00346171210473304,0.999039361422956,13,26,"positive regulation of T cell cytokine production","BP"
"5255","GO:0015333",0.0034621421442363,1,4,4,"peptide:proton symporter activity","MF"
"20084","GO:1903969",0.00346423161854025,0.999831323791285,5,6,"regulation of response to macrophage colony-stimulating factor","BP"
"20086","GO:1903972",0.00346423161854025,0.999831323791285,5,6,"regulation of cellular response to macrophage colony-stimulating factor stimulus","BP"
"10508","GO:0042802",0.00346825348440971,0.997055376542508,545,2072,"identical protein binding","MF"
"17589","GO:0101002",0.00347014291907762,0.997908706682531,59,180,"ficolin-1-rich granule","CC"
"4557","GO:0010212",0.00347732489343525,0.998034494107998,48,139,"response to ionizing radiation","BP"
"16244","GO:0072698",0.00347892714546146,0.998539178767961,24,57,"protein localization to microtubule cytoskeleton","BP"
"13122","GO:0051153",0.0035495283201595,0.998322639032907,30,78,"regulation of striated muscle cell differentiation","BP"
"9516","GO:0035641",0.00356306154802779,0.999343737881981,9,15,"locomotory exploration behavior","BP"
"5629","GO:0016241",0.00357546640426262,0.997816414687287,62,187,"regulation of macroautophagy","BP"
"13945","GO:0060333",0.00357745126987354,0.99900292731819,13,26,"type II interferon-mediated signaling pathway","BP"
"20119","GO:1904026",0.00358512252169215,0.999688704210607,6,8,"regulation of collagen fibril organization","BP"
"13819","GO:0060143",0.00359330931911047,0.999136034924132,11,21,"positive regulation of syncytium formation by plasma membrane fusion","BP"
"11523","GO:0045723",0.00364804956137711,0.999215248038287,10,18,"positive regulation of fatty acid biosynthetic process","BP"
"3087","GO:0006486",0.00366032649378228,0.997682134044907,71,218,"protein glycosylation","BP"
"10830","GO:0043413",0.00366032649378228,0.997682134044907,71,218,"macromolecule glycosylation","BP"
"7582","GO:0031401",0.00368920197297406,0.997239197624046,166,571,"positive regulation of protein modification process","BP"
"10147","GO:0042023",0.00368941450501349,1,4,4,"DNA endoreduplication","BP"
"20008","GO:1903829",0.00369755130768855,0.997306980387202,140,470,"positive regulation of protein localization","BP"
"16034","GO:0072197",0.00373169956033786,0.999814723228774,5,6,"ureter morphogenesis","BP"
"9636","GO:0035821",0.00375154211092424,0.999267643827923,9,16,"modulation of process of another organism","BP"
"11396","GO:0045429",0.00377722290464837,0.998686742738905,17,38,"positive regulation of nitric oxide biosynthetic process","BP"
"2105","GO:0004707",0.00381360653578577,0.999289399615212,9,15,"MAP kinase activity","MF"
"15103","GO:0070434",0.00385516954801576,0.999806946885946,5,6,"positive regulation of nucleotide-binding oligomerization domain containing 2 signaling pathway","BP"
"11255","GO:0045059",0.003889672502715,0.999272771963438,9,15,"positive thymic T cell selection","BP"
"15300","GO:0070841",0.00389895632366265,0.998900860364876,13,26,"inclusion body assembly","BP"
"12825","GO:0050672",0.00391472492818845,0.998097685159393,31,84,"negative regulation of lymphocyte proliferation","BP"
"965","GO:0002367",0.00396344405126111,0.9978541776529,41,117,"cytokine production involved in immune response","BP"
"17206","GO:0098686",0.00396570373585675,0.998519583094785,19,43,"hippocampal mossy fiber to CA3 synapse","CC"
"10907","GO:0043547",0.00398094707180241,0.997752520537027,47,133,"positive regulation of GTPase activity","BP"
"4611","GO:0010468",0.00398779141066982,0.996464916482495,1150,4501,"regulation of gene expression","BP"
"3074","GO:0006468",0.00399121414074425,0.996776197294809,301,1081,"protein phosphorylation","BP"
"8269","GO:0032640",0.00403522147500234,0.997635306003776,52,156,"tumor necrosis factor production","BP"
"8297","GO:0032680",0.00403522147500234,0.997635306003776,52,156,"regulation of tumor necrosis factor production","BP"
"18605","GO:0160075",0.00404239706084896,1,4,4,"non-canonical inflammasome complex assembly","BP"
"19123","GO:1901741",0.00421785849596143,0.999301635742947,8,13,"positive regulation of myoblast fusion","BP"
"5630","GO:0016242",0.00423585193395687,0.998521301477036,17,37,"negative regulation of macroautophagy","BP"
"4641","GO:0010556",0.00427231292722471,0.996205924974007,1178,4619,"regulation of macromolecule biosynthetic process","BP"
"10360","GO:0042494",0.00427555286348642,1,4,4,"detection of bacterial lipoprotein","BP"
"3583","GO:0007275",0.00429858737864465,0.996188850439761,1129,4384,"multicellular organism development","BP"
"14903","GO:0070098",0.00438539858037795,0.997861571094286,30,85,"chemokine-mediated signaling pathway","BP"
"617","GO:0001836",0.00440538816574269,0.99820000853272,21,53,"release of cytochrome c from mitochondria","BP"
"5481","GO:0015923",0.00441865088342237,0.999155546502895,9,15,"mannosidase activity","MF"
"7541","GO:0031326",0.00443083012765883,0.996060896902712,1198,4703,"regulation of cellular biosynthetic process","BP"
"2984","GO:0006308",0.00448836897440568,0.998606288134366,14,30,"DNA catabolic process","BP"
"12038","GO:0046824",0.00449203036597419,0.998007360598477,25,63,"positive regulation of nucleocytoplasmic transport","BP"
"19158","GO:1901873",0.00454610702620888,0.997036288640281,76,242,"regulation of post-translational protein modification","BP"
"8508","GO:0032991",0.0045516893291786,0.99593726171732,1333,5298,"protein-containing complex","CC"
"13949","GO:0060337",0.00456188201007665,0.997854282615663,28,74,"type I interferon-mediated signaling pathway","BP"
"20340","GO:1904464",0.00456421451230659,0.999760987595046,5,6,"regulation of matrix metallopeptidase secretion","BP"
"21317","GO:1990773",0.00456421451230659,0.999760987595046,5,6,"matrix metallopeptidase secretion","BP"
"4478","GO:0009889",0.00456988917813824,0.995933504379757,1216,4780,"regulation of biosynthetic process","BP"
"4568","GO:0010269",0.00457788789963446,0.999352464299799,7,11,"response to selenium ion","BP"
"8486","GO:0032964",0.004611290354098,0.998228575768754,19,45,"collagen biosynthetic process","BP"
"15697","GO:0071596",0.00466946019567949,1,4,4,"ubiquitin-dependent protein catabolic process via the N-end rule pathway","BP"
"17040","GO:0097530",0.00468215386376466,0.997323518126405,46,140,"granulocyte migration","BP"
"17327","GO:0098895",0.00471382234436032,0.99956401637619,6,8,"postsynaptic endosome membrane","CC"
"3735","GO:0008063",0.00471562790143336,0.999202789287567,8,13,"Toll signaling pathway","BP"
"569","GO:0001782",0.00472300111767292,0.998385605854978,16,35,"B cell homeostasis","BP"
"12925","GO:0050854",0.00474381999857275,0.997839595861433,26,67,"regulation of antigen receptor-mediated signaling pathway","BP"
"10446","GO:0042692",0.00477939626432017,0.996595156331353,117,384,"muscle cell differentiation","BP"
"1028","GO:0002467",0.00480912584166569,0.999183983492613,8,13,"germinal center formation","BP"
"3009","GO:0006366",0.00481393173697558,0.995841120832829,654,2488,"transcription by RNA polymerase II","BP"
"945","GO:0002335",0.00487452046515742,0.998312061639325,16,36,"mature B cell differentiation","BP"
"17416","GO:0099068",0.00487952207722873,0.99757245093413,32,84,"postsynapse assembly","BP"
"11976","GO:0046641",0.00490894468395953,0.998650388239353,12,24,"positive regulation of alpha-beta T cell proliferation","BP"
"8260","GO:0032623",0.00493611662731003,0.997784701296603,25,64,"interleukin-2 production","BP"
"8288","GO:0032663",0.00493611662731003,0.997784701296603,25,64,"regulation of interleukin-2 production","BP"
"917","GO:0002294",0.00497194402541339,0.997575979884601,30,80,"CD4-positive, alpha-beta T cell differentiation involved in immune response","BP"
"1162","GO:0002700",0.00498231141326514,0.996948794388528,58,179,"regulation of production of molecular mediator of immune response","BP"
"7559","GO:0031346",0.00498868467008504,0.996499472843234,107,346,"positive regulation of cell projection organization","BP"
"3466","GO:0007052",0.00499980622127801,0.997164086848266,45,131,"mitotic spindle organization","BP"
"17256","GO:0098791",0.0050002517767391,0.996445967462473,114,377,"Golgi apparatus subcompartment","CC"
"6513","GO:0019902",0.00501322006814471,0.996909439142062,60,181,"phosphatase binding","MF"
"4164","GO:0009059",0.00507498638724799,0.995446115054386,1550,6182,"macromolecule biosynthetic process","BP"
"10798","GO:0043374",0.00507783646400002,0.999129533210139,8,13,"CD8-positive, alpha-beta T cell differentiation","BP"
"4070","GO:0008630",0.00508308733767005,0.997296606584676,37,105,"intrinsic apoptotic signaling pathway in response to DNA damage","BP"
"15259","GO:0070727",0.00508833685084877,0.995602745587205,648,2462,"cellular macromolecule localization","BP"
"17267","GO:0098802",0.00511252518925111,0.996873775967965,58,174,"plasma membrane signaling receptor complex","CC"
"5664","GO:0016310",0.00512206832573291,0.99577720909394,350,1278,"phosphorylation","BP"
"7058","GO:0030223",0.00512848040341131,0.999257485959802,7,11,"neutrophil differentiation","BP"
"915","GO:0002292",0.0051314262146955,0.997421893942481,32,87,"T cell differentiation involved in immune response","BP"
"17155","GO:0098591",0.00514900452229198,0.999721524976042,5,6,"external side of apical plasma membrane","CC"
"19846","GO:1903510",0.00515894967481349,0.99738117928265,33,89,"mucopolysaccharide metabolic process","BP"
"18745","GO:1900102",0.00518264847692596,0.998930889165256,9,16,"negative regulation of endoplasmic reticulum unfolded protein response","BP"
"13163","GO:0051246",0.00519739578104547,0.995588435873928,493,1867,"regulation of protein metabolic process","BP"
"20311","GO:1904407",0.0052139817882826,0.998105263657729,17,39,"positive regulation of nitric oxide metabolic process","BP"
"2564","GO:0005575",0.00524222929684457,0.996212531845839,3930,16395,"cellular_component","CC"
"1013","GO:0002443",0.00532841181701261,0.996207239378306,112,383,"leukocyte mediated immunity","BP"
"18521","GO:0150052",0.00542661253101341,0.997892172307291,19,44,"regulation of postsynapse assembly","BP"
"11968","GO:0046633",0.00543837425066032,0.997874173658714,19,45,"alpha-beta T cell proliferation","BP"
"21346","GO:1990830",0.00544800771087654,0.99721793494533,33,90,"cellular response to leukemia inhibitory factor","BP"
"19254","GO:1902106",0.00551132191316761,0.997079653517484,36,102,"negative regulation of leukocyte differentiation","BP"
"17153","GO:0098588",0.00551630231298723,0.995269205000364,563,2135,"bounding membrane of organelle","CC"
"13216","GO:0051336",0.0055193981766703,0.99584687757623,157,550,"regulation of hydrolase activity","BP"
"10807","GO:0043383",0.0055410853621527,0.999034312256747,8,13,"negative T cell selection","BP"
"5602","GO:0016192",0.00558815436913131,0.99532042834802,409,1518,"vesicle-mediated transport","BP"
"12923","GO:0050852",0.00559677724545927,0.996736117005281,48,142,"T cell receptor signaling pathway","BP"
"8602","GO:0033157",0.00561253299300116,0.99670716640641,49,145,"regulation of intracellular protein transport","BP"
"16232","GO:0072676",0.00562509056319906,0.997010826013774,36,103,"lymphocyte migration","BP"
"3575","GO:0007266",0.0056980367353018,0.996722868051736,46,133,"Rho protein signal transduction","BP"
"15557","GO:0071357",0.00572188153671458,0.997250770514665,28,75,"cellular response to type I interferon","BP"
